WASHNORM stands for Water, Sanitation, and Hygiene National Outcome Routine Mapping.|WASHNORM is an acronym for Water, Sanitation, and Hygiene National Outcome Routine Mapping.|The full form of WASHNORM is Water Sanitation and Hygiene National Outcome Routine Mapping.
The annual WASHNORM survey collects data on national households and facilities, covering key WASH sector indicators.|WASHNORM is an annual survey that gathers household and facility data to track WASH sector outcomes.|Each year, the WASHNORM survey collects a variety of outcome indicators related to the WASH sector from national households and facilities.
The 2021 WASHNORM survey added COVID-19-related questions to the household module and expanded the public utility mapping to include energy needs for urban waterworks.|In WASHNORM 2021, new COVID-19 questions were included in the household module, and the mapping of public utilities was expanded to include the energy requirements for urban waterworks.|WASHNORM 2021 included questions about COVID-19 in the household module and extended public utility mapping to account for energy requirements in urban waterworks.
WASHNORM aims to provide current and detailed data, gather stakeholder insights, monitor WASH outcomes, and strengthen WASH institutions.|Key objectives of WASHNORM include delivering accurate data, tracking WASH outcomes, engaging stakeholders, and improving WASH institutions.|The primary goals of WASHNORM are to offer up-to-date data, engage with stakeholders, track outcomes, and strengthen WASH institutions.
State-wide WASH investment plans are formulated based on the data derived from the WASHNORM report.|WASHNORM data serves as the foundation for developing state-wide WASH investment plans.|The data collected from the WASHNORM report is used to create state-wide WASH investment plans.
WASHNORM was conducted across all 36 states of Nigeria and the Federal Capital Territory, Abuja. | WASHNORM was implemented in all 36 states and the FCT of Nigeria. | The survey took place in all 36 Nigerian states and the Federal Capital Territory, Abuja.
Data collection took place during the third and fourth quarters of 2021. | The data was gathered in the last two quarters of 2021. | Data collection occurred in the third and fourth quarters of the year 2021.
1,640 EAs were covered across all 36 states. | A total of 1,640 enumeration areas were surveyed in the 36 states. | In all 36 states, 1,640 EAs were covered.
600 households were targeted per state, excluding Lagos and Kano. | For each state other than Lagos and Kano, 600 households were targeted. | 600 households were targeted in every state except Lagos and Kano.
Each of Lagos and Kano targeted 1,800 households. | 1,800 households were targeted in both Lagos and Kano. | Lagos and Kano each had 1,800 households targeted.
A total of 24,600 households were targeted. | In total, 24,600 households were targeted. | The total number of households targeted was 24,600.
Water quality assessment was conducted by listing water points in each EA and selecting 8,200 households across the states. | The assessment involved listing all water points in an EA and selecting 8,200 households nationwide. | Water quality was assessed by listing water points within EAs, selecting 8,200 households across states.
The sampling frame included primary and secondary schools, health facilities, urban water utilities, markets, and motor parks. | Institutions like primary schools, secondary schools, health facilities, urban water utilities, markets, and motor parks were included. | Primary schools, secondary schools, health facilities, urban water utilities, markets, and motor parks were part of the sampling frame.
A total of 2,050 primary and secondary schools were listed nationwide. | 2,050 primary and secondary schools were listed throughout the country. | The total number of primary and secondary schools listed across the country was 2,050.
Data collection covered 98.6% of the targeted samples. | 98.6% of the targeted samples had data collected. | Data was obtained from 98.6% of the targeted samples.
22,353 households were covered in total. | A total of 22,353 households were covered in the survey. | 22,353 households were included in the survey.
7,859 households were covered for the water quality assessment. | 7,859 households were part of the water quality assessment. | The water quality assessment covered 7,859 households.
2,761 facilities were covered for the water quality assessment. | A total of 2,761 facilities were assessed for water quality. | Water quality assessment covered 2,761 facilities.
22,353 households were covered for the household WASH expenditure. | 22,353 households were targeted for the household WASH expenditure. | The household WASH expenditure survey covered 22,353 households.
3,587 facilities were covered for the water source mapping. | 3,587 facilities were assessed for water source mapping. | A total of 3,587 facilities were included in the water source mapping.
2,016 schools were covered in WASH for educational facilities? | WASH for educational facilities covered 2,016 schools. | 2,016 schools were included in the WASH educational facilities survey.
1,265 health facilities were covered. | 1,265 health facilities were part of the survey. | The survey covered 1,265 health facilities.
1,187 markets and motor parks were covered. | 1,187 markets and motor parks were included in the survey. | The survey covered 1,187 markets and motor parks.
28 water utilities were covered. | A total of 28 water utilities were assessed. | The survey covered 28 water utilities.
5,437 households were covered in the Urban Water Utilities Consumer Satisfaction Survey. | The Urban Water Utilities Consumer Satisfaction Survey covered 5,437 households. | 5,437 households were included in the Urban Water Utilities Consumer Satisfaction Survey.
NORM 2019 had a higher number of households covered compared to NORM 2021. | NORM 2019 covered more households than NORM 2021. | NORM 2019 had a greater number of households covered than NORM 2021.
WASHNORM utilized six sets of questionnaires that broadly focus on two components: household-based assessments of WASH service levels, and facility-based assessments of WASH infrastructure in communities, education and health institutions and public places (markets and motor parks). | WASHNORM used six questionnaires focusing on household and facility-based assessments of WASH services and infrastructure in different sectors. | The survey instruments included six questionnaires focusing on household and facility assessments related to WASH services and infrastructure in education, health, and public spaces.
UNICEF/WHO Joint Monitoring Programme (JMP) developed the indicators and household survey questions WASHNORM uses. | The indicators and household survey questions used by WASHNORM were developed by the UNICEF/WHO Joint Monitoring Programme. | WASHNORM's survey questions and indicators were developed by the UNICEF/WHO Joint Monitoring Programme (JMP).
A questionnaire was developed specifically for the urban water utilities mapping and consumers' satisfaction survey. | A dedicated questionnaire was created for the urban water utilities mapping and consumer satisfaction survey. | The urban water utilities mapping and consumer satisfaction survey had its own specific questionnaire.
The household survey questionnaire covered parameters on household characteristics, WASH facilities' coverage, functionality, availability, accessibility, quality, user participation, satisfaction, determinants of sustainability, access to and satisfaction with public water utilities, and household expenditure on WASH services. | The household survey covered a wide range of parameters such as household characteristics, WASH facility access, satisfaction, quality, and public water utilities. | The household survey questionnaire included questions about household characteristics, WASH services, user satisfaction, sustainability, and expenditure on WASH services.
The water facilities mapping module covered general characteristics and features of water facilities, accessibility, facility management, water quality status, and sanitary inspection. | The water facilities mapping module assessed water facilities’ characteristics, management, quality status, and accessibility. | The module covered features like accessibility, water quality, facility management, and sanitary inspection of water facilities.
The institutional tools covered general information on institutional facilities and access to WASH services. | The institutional tools focused on institutional facilities and their access to WASH services. | The institutional tools gathered general data on facilities and their access to WASH services.
The water utilities network mapping tool covered a range of technical information on Intake, Treatment Plants, Storage facilities, Booster Stations and Pipe Networks, as well as general information on treatment installations, installed capacity, capacity utilization, energy requirement, personnel and staffing, connections and tariff system in place. | The water utilities network mapping tool collected technical data on water intake, treatment plants, storage, networks, and other operational aspects. | The mapping tool covered technical aspects such as intake, treatment plants, storage, and distribution networks of water utilities.
The water utilities consumers' satisfaction survey covered general information of the household, quality of water supply services, customer satisfaction ratings on the quality of services, redress mechanisms and a section on water quality testing. | The water utilities consumer satisfaction survey included questions on household information, water quality, customer satisfaction, and service redress. | The survey included sections on water quality, customer satisfaction, household data, and redress mechanisms.
The household survey questionnaire, the water facilities mapping module, the institutional tools, and the water utilities network mapping tool were used. | WASHNORM used four main tools: the household survey, water facilities mapping, institutional tools, and water utilities network mapping. | The main modules used in WASHNORM include the household survey, water facilities mapping, institutional tools, and water utilities network mapping tool.
WASHNORM survey is aggregated at the state level, analysed and used to provide national estimates. | The WASHNORM data is aggregated at the state level to produce national estimates. | Data from WASHNORM is aggregated at the state level to give national-level findings.
The pre-test and pilot test of the survey were conducted to assess the suitability and appropriateness of the questionnaires and survey implementation modalities. | The pre-test and pilot test were done to evaluate the survey's questions and implementation. | The purpose of the pre-test and pilot test was to check the relevance of the questions and survey methods.
533 field personnel collected the survey. | A total of 533 field personnel were responsible for collecting the survey data. | 533 field personnel were involved in collecting the survey data.
The data was collected through face-to-face interviews with household respondents using computer-assisted personal interviewing (CAPI) devices. | Data collection was done via face-to-face interviews using CAPI devices with household respondents. | Household data was collected using CAPI devices in face-to-face interviews.
Household water safety was assessed based on levels of thermotolerant coliform observed in the household water at the point of collection and consumption. | SDG 6.1 was assessed by measuring thermotolerant coliform levels in household water at collection and consumption points. | SDG 6.1 was evaluated through water quality tests that measured thermotolerant coliform at household water collection and consumption points.
Wagtech Palintest Water Quality mobile kits were used to perform water quality assessment. | Water quality assessments were done using Wagtech Palintest mobile kits. | Wagtech Palintest mobile kits were the devices used for performing water quality assessments.
The overall response rate for the 2021 WASHNORM household survey was 98 % from a total of 24,600 households sampled. | The response rate for the 2021 WASHNORM survey was 98%, with 24,600 households surveyed. | A response rate of 98% was achieved for the 2021 WASHNORM household survey from a total of 24,600 households.
The findings of the 2021 WASHNORM provide an analysis of household's access to basic WASH services, including quality of drinking water and access and satisfaction levels with water supply services; assessment of water facilities in communities; WASH in schools, hospitals, markets and motor parks; and household expenditure on WASH services. | The findings provide an analysis of access to WASH services, water quality, satisfaction levels, and WASH facilities in communities, schools, hospitals, and markets. | WASHNORM findings analyze access to basic WASH services, including drinking water quality, access levels, and satisfaction, alongside facility assessments.
19% of households are headed by women. | 19% of the households surveyed were led by women. | A total of 19% of households are headed by women.
8% of the population are children under the age of 5. | 8% of the population consists of children under 5 years old. | Children under the age of 5 make up 8% of the population.
15% of the population are adults above the age of 50. | 15% of the population is above 50 years old. | 15% of the total population are adults aged 50 and above.
11 million people in Nigeria live with disabilities and that is 6% of the population. | 6% of Nigerians live with disabilities, totaling 11 million people. | 11 million Nigerians, or 6% of the population, live with disabilities.
Slightly more than 65% of households live in rural areas. | More than 65% of households in Nigeria reside in rural areas. | 65% of households are located in rural areas.
Almost half of the country's population belongs to the poor and poorest wealth quintiles. | Around 50% of Nigeria's population is in the poorest wealth quintiles. | Almost half of Nigeria's population is categorized in the poor and poorest wealth quintiles.
87% of Nigerians do not have access to safely managed drinking water services and that is 179 million in numbers. | 87% of the population lacks access to safely managed drinking water, totaling 179 million people. | 87% of Nigerians, which is equivalent to 179 million, lack access to safely managed drinking water services.
The Northeast has the lowest access to safely managed drinking water supply services at 2%. | The Northeast region has the lowest access to safely managed drinking water supply services at just 2%. | With only 2% access, the Northeast region has the lowest safe drinking water supply access.
The Southwest has the highest access to safely managed drinking water supply services at 29%. | The Southwest region boasts the highest access to safely managed drinking water supply services at 29%. | 29% of the Southwest region has access to safely managed drinking water services, the highest in Nigeria.
Urban areas have access levels at 86% and rural areas have access levels at 57%. | Access levels are 86% in urban areas and 57% in rural areas. | In urban areas, 86% have access to drinking water services, compared to 57% in rural areas.
Access to basic water supply services available to the richest households at 92%. | 92% of the richest households have access to basic water supply services. | Basic water supply services are accessible to 92% of the richest households in Nigeria.
11% of the population use pipe-borne water. | 11% of Nigerians rely on pipe-borne water. | 11% of the Nigerian population uses pipe-borne water.
32% of the population have water within their premises. | 32% of the population has access to water within their premises. | 32% of households have water supply located within the premises.
The average time to fetch water is 17 minutes for households whose water points are not located within the premises. | On average, it takes 17 minutes to fetch water for households without in-premises water points. | 17 minutes is the average time to fetch water for households whose water points are not within their premises.
46% of the population have access to basic sanitation services in 2021. | In 2021, 46% of the population had access to basic sanitation services. | Basic sanitation services were accessible to 46% of the population in 2021.
18% of people use safe managed sanitations services | 18% of Nigerians use safely managed sanitation services. | 18% of people in Nigeria have access to safely managed sanitation services.
Access to hygiene services increased by 1% between 2019 and 2021. | Hygiene service access increased by 1% from 2019 to 2021. | There was a 1% increase in access to hygiene services from 2019 to 2021.
13 % of the population use improved sanitation facilities with a proper handwashing station that has running water and soap. | 13% of the population have access to improved sanitation with a functional handwashing station. | 13% of the population uses sanitation facilities with a proper handwashing station with running water and soap.
28 states have urban water utilities, and 16 states are fully functional. | There are 28 states with urban water utilities, of which 16 are fully functional. | 28 states have urban water utilities, and 16 are fully functional.
1,412 waterworks. | There are 1,412 waterworks in Nigeria. | The number of waterworks in Nigeria is 1,412.
The combined capacity of all waterworks assessed is estimated to be 8 million cubic metres per day, but it is actually 2 million cubic metres per day. | The estimated combined capacity of all waterworks is 8 million cubic metres/day, but the actual capacity is only 2 million cubic metres/day. | The actual combined capacity of waterworks assessed is 2 million cubic metres/day, compared to the estimated 8 million.
16% of households are satisfied with water supplied. | 16% of households express satisfaction with the water supplied. | Only 16% of households are satisfied with the water supply provided.
There are 2.3 million water points in Nigeria. | Nigeria has 2.3 million water points. | There are 2.3 million water points across Nigeria.
The average per capita share for water supply in Nigeria is 10 litres per person per day. | Nigerians use an average of 10 litres per person per day for water. | The per capita share for water supply in Nigeria is 10 litres per day.
A third of schools (37%) have basic water supply services. | 37% of schools in Nigeria have access to basic water supply services. | 37% of schools provide basic water supply services.
30% of schools have access to basic sanitation services. | 30% of schools have access to basic sanitation services in Nigeria. | Basic sanitation services are available to 30% of schools in Nigeria.
17 % of schools have access to a combination of basic water and sanitation services. Specifically, only 19 % of schools have basic water and hygiene services | 17% of schools have both basic water and sanitation services, and 19% have basic water and hygiene services. | 17% of schools have access to both basic water and sanitation services; only 19% have water and hygiene services.
59% of health facilities have basic water supply services. | 59% of health facilities have access to basic water supply services. | 59% of health facilities are provided with basic water supply services.
1 in 10 health facilities (12%) have basic sanitation services which are separated for females and allow for menstrual hygiene management. | 12% of health facilities provide sanitation services separated for females and include menstrual hygiene management. | 12% of health facilities have basic sanitation services, including facilities separated for females and menstrual hygiene management.
1 in 4 health facilities (23 %) have improved toilets that are accessible to those with limited mobility. | 23% of health facilities in Nigeria have improved toilets that are accessible to people with limited mobility. | 23% of health facilities have accessible toilets for people with limited mobility.
33% of markets and motor parks have access to basic sanitation services. | 33% of markets and motor parks have access to basic sanitation services. | Basic sanitation services are available at 33% of markets and motor parks.
Households spent ₦3.4 trillion which translates to $8.5 billion in 2021 for WASH. | In 2021, households spent ₦3.4 trillion ($8.5 billion) on WASH services. | Households spent ₦3.4 trillion, or $8.5 billion, on WASH services in 2021.
₦1.03 trillion or $2.6 billion was spent on water supply services in 2021. | In 2021, ₦1.03 trillion ($2.6 billion) was spent on water supply services. | The expenditure on water supply services in 2021 was ₦1.03 trillion ($2.6 billion).
14 % was spent on water treatment, 50 % on storage and transport and 31 % on bills and levies | The breakdown of water supply service spending: 14% on water treatment, 50% on storage and transport, and 31% on bills and levies. | Of the funds spent on water supply services, 14% was allocated for water treatment, 50% for storage and transport, and 31% for bills and levies.
₦66 billion or $166 million was spent on sanitation services in 2021. | In 2021, ₦66 billion ($166 million) was spent on sanitation services. | ₦66 billion ($166 million) was the expenditure for sanitation services in 2021.
9 % was spent on bills and levies, 35 % on toilet emptying, and 33 % on construction | The breakdown for sanitation service spending: 9% on bills and levies, 35% on toilet emptying, and 33% on construction. | For sanitation services, 9% of the funds were spent on bills and levies, 35% on toilet emptying, and 33% on construction.
